,Graph-Large-3,Graph-Large-5,Graph-Large-7,Graph-Small-3,Graph-Small-5,Graph-Small-7,Number-Large-3,Number-Large-5,Number-Large-7,Number-Small-3,Number-Small-5,Number-Small-7
83,787.8350000085775,807.6110000310291,1005.8119999849296,814.5889999835053,1123.764000018884,743.2080000087444,1073.970999985817,,,1821.4500000312985,1241.0080000340822,
84,704.239000020345,851.0269999943266,739.9030000336352,762.7069999864325,1041.6170000045968,2130.227999990486,1026.0330000333488,1232.4410000196367,2477.781999980827,1135.3330000332207,2722.541999981709,3161.2120000254363
85,714.884,1189.745,1149.6,983.2009999,1086.291,946.728,991.1889999,1988.627,1571.939,1164.604,,1964.032
86,746.708,888.599,923.4369999,738.999,914.5499999,1190.102,1367.307,,2637.723,1593.887,1671.808,2292.425
87,747.066,925.0809999,949.881,817.3239999,869.206,1297.61,1157.237,3299.359,2149.834,1629.045,1184.079,3866.014
88,562.0779998,648.1089999,783.467,866.2629998,962.3029998,1166.299,1045.984,,3087.781,1118.462,1605.711,2171.855
89,691.17,999.958,797.8169998,669.6619999,608.8999998,902.1569999,1373.866,1702.259,1539.265,1721.102,1795.799,
90,786.292,1167.084,1050.884,1074.578,1365.755,1078.033,1216.186,2011.068,,1062.926,1540.97,
91,849.861,1287.567,904.006,1115.056,1215.582,1316.234,1327.192,2126.281,1726.577,1472.384,1908.187,1797.188
92,1130.116,864.765,1435.102,807.88,1294.331,1071.281,1300.722,1625.153,1519.997,1419.096,,2213.398
93,907.579,870.801,1336.658,839.642,1030.833,1022.596,1515.683,1582.107,1801.983,1514.709,1811.552,3037.616
94,1061.575,984.554,1002.778,972.885,1211.826,1032.782,1111.092,2113.345,1809.405,1962.056,1894.512,2431.506
95,1305.8040000196706,1090.3349999789862,1917.568999976418,1286.1190000435126,1217.2410000054078,2039.3010000197064,1279.241000017515,2400.5600000609847,2851.469999984949,1933.3539999978748,1538.3400000489492,1561.7999999826716
96,1382.027000046859,1047.025000047317,1087.257000042693,1308.823000037184,1051.2400000098278,1330.653000036058,1683.5700000080833,2212.115999972433,,1384.8540000320718,1187.8570000518955,
97,978.510000065522,1046.421000046801,1377.614000001122,2585.2319999796164,1361.677999977721,1491.822999967444,1209.5369999772083,,3708.9769999738855,1418.254999985962,,1994.801999997988
98,952.2859999879292,1969.6100000612787,1173.9089999627904,1103.2639999949024,1052.5580000298796,1144.0789999706758,,2021.392999991891,,,2080.136999991577,1653.1970000409638
99,1256.7119999980496,1018.0220000317496,1005.8100000121776,1080.9270000294782,1192.633999998623,1130.3559999914723,,1868.1099999597936,3174.5600000032864,1267.5330000208342,,4805.613000052632
100,1126.3219999999856,1626.5059999940277,1620.6630000000005,880.1909999985073,2214.9569999985106,1943.0560000000116,1097.8639999940642,1970.9499999940451,,1489.2779999985069,1449.869000000006,3463.272999998502
101,872.6869999940391,1705.1419999985085,1322.979999998497,929.1449999940525,3451.0249999955413,1854.2859999985085,2171.681999999972,1617.2239999955343,,1165.5119999970193,1366.518999998516,2976.297999997012
102,802.8299999955343,1143.0949999985169,1206.9279999970167,1140.070999998512,1792.7309999999998,3928.594000000012,1274.7490000000107,1138.1449999985052,2241.3830000000016,1118.7739999940386,2244.931999999972,2286.6300000000047
103,985.2179999955116,1439.4579999955022,1126.7679999940449,1152.778999998496,997.8249999984982,1727.340999995533,955.5960000000196,1444.8279999999795,1408.9309999970135,980.0929999955116,2915.173999994062,2310.512999999977
104,779.6919999940437,1141.332999998529,1130.2899999955262,752.0050000000047,1130.4019999970333,1314.3119999970077,1315.8659999940428,1747.6199999970268,1198.2119999999995,2403.023999999976,2726.7699999940232,4021.554999995511
105,808.4229999764284,944.5129999862402,1061.864999975136,1451.1419999742866,1243.577999983725,2355.352999978626,1121.9459999847022,1554.1669999970327,1924.8449999879888,1354.1789999826506,2081.6689999851733,2001.6129999906843
106,998.650999998972,1157.1719999760537,1230.8659999934753,889.118999996208,1027.2200000000012,1246.5369999906106,1217.7309999999416,1416.8289999901026,1865.3729999743227,1192.0989999806625,,2088.2599999885133
