,graphFlag,deviation,size,duration
1149,0.0,5.0,3.0,1933.3539999978748
1153,0.0,5.0,3.0,1384.8540000320718
1156,0.0,5.0,3.0,1418.254999985962
1188,0.0,5.0,3.0,1375.827999995876
1190,0.0,5.0,3.0,1267.5330000208342
1209,0.0,5.0,3.0,1489.2779999985069
1235,0.0,5.0,3.0,1165.5119999970193
1239,0.0,5.0,3.0,1118.7739999940386
1253,0.0,5.0,3.0,980.0929999955116
1255,0.0,5.0,3.0,2403.023999999976
1261,0.0,5.0,3.0,1354.1789999826506
1293,0.0,5.0,3.0,1192.0989999806625
1295,0.0,5.0,3.0,1267.3919999841746
1303,0.0,5.0,3.0,1517.943999997835
1304,0.0,5.0,3.0,1014.1319999868864
1320,0.0,5.0,3.0,1930.818000000756
1337,0.0,5.0,3.0,1307.5550000003714
1338,0.0,5.0,3.0,1139.670000001497
1360,0.0,5.0,3.0,1157.7290000014764
1370,0.0,5.0,3.0,1174.0420000000158
1384,0.0,5.0,3.0,1610.3050000000512
1406,0.0,5.0,3.0,1385.9230000000098
1407,0.0,5.0,3.0,1081.141000000178
1415,0.0,5.0,3.0,1792.3590000002296
1418,0.0,5.0,3.0,1218.5430000001215
1446,0.0,5.0,3.0,1413.7890000473851
1447,0.0,5.0,3.0,1531.5429999356274
1449,0.0,5.0,3.0,1547.8080000783084
1489,0.0,5.0,3.0,1304.349999932805
1498,0.0,5.0,3.0,1546.2739999855405
2,0.0,5.0,5.0,2473.0000000000146
25,0.0,5.0,5.0,3007.0
32,0.0,5.0,5.0,1530.0
47,0.0,5.0,5.0,1635.0
58,0.0,5.0,5.0,1527.0
73,0.0,5.0,5.0,1948.0
89,0.0,5.0,5.0,1846.0
90,0.0,5.0,5.0,1523.0
106,0.0,5.0,5.0,1575.000000000029
112,0.0,5.0,5.0,1802.0
124,0.0,5.0,5.0,1890.697999991069
133,0.0,5.0,5.0,1306.7639999909152
136,0.0,5.0,5.0,2678.31599999679
174,0.0,5.0,5.0,1463.5519999995013
177,0.0,5.0,5.0,1084.6630000007572
180,0.0,5.0,5.0,1415.938999999984
211,0.0,5.0,5.0,1519.726000000053
226,0.0,5.0,5.0,1873.582000000053
227,0.0,5.0,5.0,1410.7569999999832
237,0.0,5.0,5.0,954.9860000000336
258,0.0,5.0,5.0,1536.3749999999418
279,0.0,5.0,5.0,1437.975999999995
283,0.0,5.0,5.0,1743.539999999979
290,0.0,5.0,5.0,1961.6100000000151
298,0.0,5.0,5.0,1861.8979999999572
300,0.0,5.0,5.0,1691.0
303,0.0,5.0,5.0,1379.0
326,0.0,5.0,5.0,2094.0
357,0.0,5.0,5.0,1476.0
359,0.0,5.0,5.0,1480.0
386,0.0,5.0,5.0,1125.8559999999998
395,0.0,5.0,5.0,1090.6979999940377
404,0.0,5.0,5.0,1895.4699999940349
417,0.0,5.0,5.0,1502.9530000030063
419,0.0,5.0,5.0,1666.664999999979
437,0.0,5.0,5.0,1993.000000000029
438,0.0,5.0,5.0,2512.0
470,0.0,5.0,5.0,1725.0
472,0.0,5.0,5.0,2047.0
476,0.0,5.0,5.0,1374.0
501,0.0,5.0,5.0,1410.0
513,0.0,5.0,5.0,2047.0
518,0.0,5.0,5.0,1714.0
528,0.0,5.0,5.0,1158.0
531,0.0,5.0,5.0,1820.0
544,0.0,5.0,5.0,1420.0
547,0.0,5.0,5.0,2242.0
552,0.0,5.0,5.0,1386.0
571,0.0,5.0,5.0,2099.0
582,0.0,5.0,5.0,1752.000000000029
600,0.0,5.0,5.0,1489.0129999985074
605,0.0,5.0,5.0,1376.7980000000098
608,0.0,5.0,5.0,1678.0269999985176
638,0.0,5.0,5.0,1430.0479999984964
659,0.0,5.0,5.0,1476.807000001485
665,0.0,5.0,5.0,1239.0
668,0.0,5.0,5.0,1903.0
697,0.0,5.0,5.0,1514.0
714,0.0,5.0,5.0,2449.000000000029
718,0.0,5.0,5.0,1628.0
728,0.0,5.0,5.0,1326.0
734,0.0,5.0,5.0,1046.0
738,0.0,5.0,5.0,1001.0
745,0.0,5.0,5.0,1614.0
756,0.0,5.0,5.0,929.0000000000292
788,0.0,5.0,5.0,1747.8370000000286
808,0.0,5.0,5.0,1421.158999999869
815,0.0,5.0,5.0,2964.127000000095
827,0.0,5.0,5.0,3590.369000000006
828,0.0,5.0,5.0,3152.6969999999856
862,0.0,5.0,5.0,2488.1829999979527
870,0.0,5.0,5.0,1097.852000007406
877,0.0,5.0,5.0,1952.6989999995856
878,0.0,5.0,5.0,1548.8620000010706
898,0.0,5.0,5.0,2096.254000000714
907,0.0,5.0,5.0,1715.0
926,0.0,5.0,5.0,2031.000000000029
929,0.0,5.0,5.0,1401.0
951,0.0,5.0,5.0,2259.0
952,0.0,5.0,5.0,1445.0
969,0.0,5.0,5.0,1504.0959999927873
984,0.0,5.0,5.0,1689.151000014739
987,0.0,5.0,5.0,1917.0950000189769
1004,0.0,5.0,5.0,1241.0080000340822
1013,0.0,5.0,5.0,2722.541999981709
1020,0.0,5.0,5.0,2557.503
1028,0.0,5.0,5.0,1671.808
1039,0.0,5.0,5.0,1184.079
1069,0.0,5.0,5.0,1605.711
1073,0.0,5.0,5.0,1795.799
1088,0.0,5.0,5.0,1540.97
1096,0.0,5.0,5.0,1908.187
1100,0.0,5.0,5.0,1714.113
1108,0.0,5.0,5.0,1811.552
1120,0.0,5.0,5.0,1894.512
1146,0.0,5.0,5.0,1538.3400000489492
1169,0.0,5.0,5.0,1187.8570000518955
1178,0.0,5.0,5.0,1067.135000000446
1185,0.0,5.0,5.0,2080.136999991577
1198,0.0,5.0,5.0,1406.9940000197676
1212,0.0,5.0,5.0,1449.869000000006
1217,0.0,5.0,5.0,1366.518999998516
1242,0.0,5.0,5.0,2244.931999999972
1243,0.0,5.0,5.0,2915.173999994062
1246,0.0,5.0,5.0,2726.7699999940232
1260,0.0,5.0,5.0,2081.6689999851733
1287,0.0,5.0,5.0,1784.1979999755276
1300,0.0,5.0,5.0,1456.200999976747
1302,0.0,5.0,5.0,1503.5879999817407
1308,0.0,5.0,5.0,1917.676999983756
1322,0.0,5.0,5.0,1878.5200000007464
1325,0.0,5.0,5.0,1723.3750000003783
1335,0.0,5.0,5.0,2285.345000000758
1336,0.0,5.0,5.0,2924.397000000376
1366,0.0,5.0,5.0,2692.8030000000144
1380,0.0,5.0,5.0,1830.5390000001064
